                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81189,                 1.1557,                 1.3127,                0.73034,                0.78115,                0.79349,                0.62342,                0.80151,                0.82408,                 1.4868,               0.009694,               0.009694,               0.009694
                     37,                0.81586,                 1.1525,                  1.313,                0.73548,                0.77639,                0.79704,                 0.6232,                0.80604,                0.82956,                  1.489,               0.009685,               0.009685,               0.009685
                     38,                0.80528,                 1.1272,                 1.3013,                0.74909,                0.75937,                 0.7916,                0.62016,                0.79347,                0.81653,                 1.4786,               0.009676,               0.009676,               0.009676
                     39,                0.80889,                 1.1288,                 1.3059,                0.73899,                0.77633,                0.79696,                0.62807,                0.78691,                0.79797,                 1.4688,               0.009667,               0.009667,               0.009667
                     40,                0.80792,                 1.1242,                 1.3071,                0.73704,                0.75271,                0.79531,                0.62413,                0.80012,                0.82663,                 1.4856,               0.009658,               0.009658,               0.009658
                     41,                0.80418,                 1.1149,                 1.3015,                0.75913,                0.76692,                0.81301,                0.63418,                0.80483,                0.79183,                 1.4972,               0.009649,               0.009649,               0.009649
                     42,                0.80686,                 1.1065,                 1.3056,                0.75188,                0.76658,                0.80636,                 0.6302,                0.80394,                0.81745,                 1.4965,                0.00964,                0.00964,                0.00964
                     43,                0.80576,                 1.1256,                  1.302,                0.73318,                0.78486,                0.79244,                0.62336,                0.78988,                0.81825,                 1.4698,               0.009631,               0.009631,               0.009631
                     44,                0.80508,                 1.1203,                  1.301,                0.76056,                0.76809,                0.79777,                0.62602,                0.79716,                0.80295,                 1.4807,               0.009622,               0.009622,               0.009622
                     45,                0.79864,                 1.1022,                 1.2974,                0.73993,                0.77541,                0.80035,                 0.6284,                0.79439,                0.80182,                 1.4876,               0.009613,               0.009613,               0.009613
                     46,                0.80223,                 1.1027,                 1.2958,                0.74832,                0.80463,                0.81523,                0.64228,                0.79612,                0.76709,                  1.477,               0.009604,               0.009604,               0.009604
                     47,                0.79317,                 1.1069,                 1.2904,                0.73081,                0.78496,                0.80643,                0.63387,                0.79032,                0.78983,                 1.4791,               0.009595,               0.009595,               0.009595
                     48,                0.80069,                 1.0914,                 1.3033,                0.74455,                0.77831,                0.80614,                0.62703,                0.80654,                 0.7843,                 1.4868,               0.009586,               0.009586,               0.009586
                     49,                0.78684,                 1.0806,                 1.2873,                0.74798,                 0.7712,                0.81109,                0.63656,                0.79386,                0.78265,                 1.4763,               0.009577,               0.009577,               0.009577
                     50,                0.79117,                 1.0855,                 1.2902,                0.74067,                0.78517,                0.81285,                0.63846,                0.78934,                0.77318,                 1.4762,               0.009568,               0.009568,               0.009568
                     51,                0.79312,                 1.0765,                 1.2943,                0.76222,                0.79226,                0.81534,                0.63879,                0.79607,                0.76079,                 1.4881,               0.009559,               0.009559,               0.009559
                     52,                0.78595,                 1.0708,                 1.2878,                0.77664,                0.79282,                0.82292,                0.64742,                0.79126,                0.74924,                 1.4763,                0.00955,                0.00955,                0.00955
                     53,                0.79208,                 1.0707,                 1.2895,                0.75139,                0.80406,                0.81558,                0.63957,                0.79461,                0.75807,                 1.4727,               0.009541,               0.009541,               0.009541
                     54,                0.78778,                 1.0716,                 1.2864,                 0.7523,                0.78269,                0.81179,                0.63951,                0.78025,                0.75851,                 1.4654,               0.009532,               0.009532,               0.009532
                     55,                0.78893,                 1.0644,                  1.286,                0.77227,                0.78836,                0.82103,                0.64662,                0.78659,                0.75815,                 1.4655,               0.009523,               0.009523,               0.009523
                     56,                0.78958,                 1.0639,                 1.2875,                0.77026,                0.78955,                0.81749,                 0.6411,                0.79122,                0.75246,                 1.4812,               0.009514,               0.009514,               0.009514
                     57,                0.78506,                 1.0608,                 1.2838,                0.75342,                0.80396,                 0.8265,                0.65172,                0.78494,                0.74058,                 1.4662,               0.009505,               0.009505,               0.009505
                     58,                0.78623,                 1.0511,                 1.2883,                0.74731,                0.81336,                0.82661,                0.64813,                0.78786,                0.74198,                 1.4712,               0.009496,               0.009496,               0.009496
                     59,                0.78138,                  1.044,                  1.281,                0.76681,                 0.8071,                0.83131,                0.65771,                0.77567,                0.73685,                 1.4545,               0.009487,               0.009487,               0.009487
                     60,                0.78265,                 1.0463,                 1.2791,                 0.7772,                0.77428,                0.82434,                0.64898,                0.77789,                0.74575,                 1.4634,               0.009478,               0.009478,               0.009478
                     61,                0.77834,                 1.0327,                 1.2809,                0.78585,                0.77663,                0.83118,                0.65614,                0.78245,                0.73851,                 1.4595,               0.009469,               0.009469,               0.009469
                     62,                0.78027,                 1.0446,                 1.2785,                0.76628,                0.80253,                0.83602,                0.66021,                0.78604,                0.72749,                 1.4738,                0.00946,                0.00946,                0.00946
                     63,                0.78191,                 1.0276,                   1.28,                0.78741,                 0.7851,                0.82888,                0.65943,                0.77355,                0.72812,                 1.4519,               0.009451,               0.009451,               0.009451
                     64,                0.77737,                 1.0366,                 1.2804,                0.79002,                0.79471,                0.83332,                 0.6599,                 0.7769,                0.72562,                 1.4596,               0.009442,               0.009442,               0.009442
                     65,                0.78025,                 1.0351,                 1.2774,                0.79348,                0.79084,                0.82851,                0.65748,                0.77424,                0.72538,                 1.4599,               0.009433,               0.009433,               0.009433
                     66,                0.78287,                 1.0301,                 1.2812,                0.77428,                0.79573,                0.83582,                0.66018,                0.78576,                0.72562,                 1.4754,               0.009424,               0.009424,               0.009424
                     67,                0.77738,                 1.0273,                 1.2797,                0.76706,                0.80224,                0.83348,                0.65602,                0.79434,                 0.7251,                 1.4826,               0.009415,               0.009415,               0.009415
                     68,                0.77358,                 1.0218,                 1.2781,                0.77744,                0.80125,                0.83606,                0.66105,                0.78007,                 0.7204,                 1.4673,               0.009406,               0.009406,               0.009406
                     69,                0.77385,                 1.0236,                 1.2768,                0.78118,                0.80451,                0.83657,                0.66065,                0.78215,                 0.7189,                 1.4637,               0.009397,               0.009397,               0.009397
                     70,                0.77163,                 1.0192,                 1.2719,                0.76915,                0.80841,                0.84049,                0.66754,                0.78062,                 0.7248,                 1.4586,               0.009388,               0.009388,               0.009388
                     71,                0.77857,                 1.0053,                 1.2769,                0.78307,                0.79956,                0.83633,                0.66048,                0.78051,                0.72336,                 1.4633,               0.009379,               0.009379,               0.009379
                     72,                0.76946,                 1.0092,                 1.2677,                0.76486,                0.81015,                0.83198,                0.65824,                0.78268,                0.72274,                  1.475,                0.00937,                0.00937,                0.00937
                     73,                0.77103,                   1.01,                 1.2748,                0.77984,                0.80346,                0.83822,                0.66325,                 0.7768,                0.71744,                 1.4588,               0.009361,               0.009361,               0.009361
                     74,                0.77062,                 1.0122,                  1.272,                0.78101,                0.80446,                 0.8403,                0.66646,                0.77513,                0.71394,                 1.4594,               0.009352,               0.009352,               0.009352
                     75,                  0.768,                  1.004,                 1.2708,                0.79562,                0.79461,                0.84022,                0.66253,                0.78192,                0.70479,                 1.4727,               0.009343,               0.009343,               0.009343
                     76,                0.76414,                  0.985,                 1.2692,                0.79239,                0.78752,                 0.8428,                0.66482,                0.78542,                0.70624,                  1.477,               0.009334,               0.009334,               0.009334
                     77,                0.76987,                  1.001,                 1.2719,                0.77655,                0.81124,                0.83877,                0.66288,                0.78383,                0.70919,                 1.4725,               0.009325,               0.009325,               0.009325
                     78,                0.76982,                0.99511,                 1.2724,                0.78847,                0.80484,                0.83665,                0.66012,                0.78446,                0.71006,                 1.4741,               0.009316,               0.009316,               0.009316
                     79,                0.76229,                0.99482,                 1.2638,                0.77578,                0.81057,                 0.8342,                0.66099,                0.78296,                0.71694,                 1.4756,               0.009307,               0.009307,               0.009307
                     80,                0.76676,                 0.9968,                 1.2713,                0.76819,                0.81681,                0.83534,                0.65962,                0.78459,                0.71441,                 1.4684,               0.009298,               0.009298,               0.009298
                     81,                0.76325,                 0.9868,                 1.2682,                0.77158,                0.80978,                0.83913,                0.66651,                0.77959,                0.70395,                 1.4699,               0.009289,               0.009289,               0.009289
                     82,                0.76114,                0.99582,                 1.2658,                0.76077,                0.80213,                0.83551,                0.66223,                0.77842,                0.70875,                 1.4673,                0.00928,                0.00928,                0.00928
                     83,                0.76685,                0.99628,                 1.2741,                0.76154,                0.81061,                0.82966,                0.65609,                0.77805,                0.71048,                 1.4642,               0.009271,               0.009271,               0.009271
                     84,                0.75855,                0.98293,                 1.2687,                 0.7794,                0.79385,                0.83441,                 0.6609,                0.77752,                0.71541,                 1.4657,               0.009262,               0.009262,               0.009262
                     85,                0.76335,                0.98145,                 1.2655,                0.77471,                0.80603,                0.83883,                0.66353,                0.78195,                0.70236,                 1.4757,               0.009253,               0.009253,               0.009253
                     86,                0.76167,                0.98013,                 1.2642,                0.77343,                0.79672,                0.83609,                0.66146,                0.78026,                0.70967,                 1.4708,               0.009244,               0.009244,               0.009244
                     87,                0.76316,                 0.9782,                 1.2665,                 0.7799,                0.79469,                0.83887,                0.66386,                0.78117,                0.70855,                 1.4716,               0.009235,               0.009235,               0.009235
                     88,                0.76255,                0.97604,                 1.2686,                 0.7693,                0.81831,                0.83901,                0.66728,                0.77255,                0.70312,                 1.4529,               0.009226,               0.009226,               0.009226
                     89,                0.76441,                0.97565,                  1.269,                0.75863,                0.81477,                0.83616,                0.66022,                0.77948,                 0.7071,                 1.4643,               0.009217,               0.009217,               0.009217
                     90,                 0.7675,                0.98113,                 1.2709,                0.77004,                 0.8034,                0.83613,                0.66298,                 0.7744,                0.71289,                 1.4581,               0.009208,               0.009208,               0.009208
                     91,                0.76185,                0.96243,                  1.266,                0.75688,                0.82627,                0.83619,                0.66317,                0.77326,                0.70698,                 1.4587,               0.009199,               0.009199,               0.009199
                     92,                0.76347,                0.97912,                 1.2678,                0.78776,                0.80388,                0.83831,                0.66385,                 0.7783,                0.70039,                 1.4672,                0.00919,                0.00919,                0.00919
                     93,                0.75425,                0.96583,                 1.2642,                0.77264,                0.81858,                0.83834,                0.66468,                0.77726,                0.70077,                 1.4663,               0.009181,               0.009181,               0.009181
                     94,                0.75606,                0.96764,                 1.2598,                0.78364,                0.80541,                0.83721,                0.66159,                0.77837,                0.70017,                 1.4684,               0.009172,               0.009172,               0.009172
                     95,                0.76528,                0.97742,                 1.2681,                0.79131,                0.80896,                0.84219,                 0.6667,                0.77727,                0.69378,                 1.4655,               0.009163,               0.009163,               0.009163
                     96,                0.75936,                 0.9623,                 1.2658,                0.79544,                0.80144,                0.84151,                0.66768,                0.77635,                0.69447,                 1.4648,               0.009154,               0.009154,               0.009154
                     97,                0.75947,                0.95779,                  1.266,                0.78502,                0.80775,                0.83928,                 0.6657,                0.77961,                0.69621,                 1.4684,               0.009145,               0.009145,               0.009145
                     98,                0.76159,                0.96611,                 1.2622,                0.79098,                0.80521,                0.84207,                0.66838,                0.77813,                0.69531,                 1.4695,               0.009136,               0.009136,               0.009136
                     99,                0.75974,                0.94652,                 1.2618,                0.78651,                0.81833,                0.84505,                0.66842,                0.77682,                0.69233,                 1.4631,               0.009127,               0.009127,               0.009127
                    100,                0.75334,                 0.9486,                 1.2586,                0.78162,                0.82671,                0.84677,                0.67046,                0.77579,                0.68918,                  1.463,               0.009118,               0.009118,               0.009118
                    101,                0.75811,                0.95262,                 1.2665,                0.77648,                0.82723,                0.84611,                0.67153,                0.77349,                0.69049,                 1.4606,               0.009109,               0.009109,               0.009109
                    102,                0.74807,                0.94849,                 1.2585,                0.77142,                0.83001,                 0.8452,                 0.6704,                0.77459,                0.69338,                 1.4636,                 0.0091,                 0.0091,                 0.0091
                    103,                0.75794,                0.96228,                 1.2616,                0.78228,                0.81172,                0.84537,                0.66956,                0.77451,                0.69131,                 1.4639,               0.009091,               0.009091,               0.009091
                    104,                0.75817,                0.94841,                 1.2612,                0.78347,                0.81698,                0.84744,                0.67132,                0.77446,                0.68401,                 1.4645,               0.009082,               0.009082,               0.009082
                    105,                0.75245,                0.94424,                 1.2588,                0.78973,                0.80794,                 0.8461,                0.66957,                0.77399,                0.68552,                 1.4642,               0.009073,               0.009073,               0.009073
                    106,                0.75372,                0.95095,                 1.2567,                0.77641,                0.81268,                0.84481,                0.66877,                0.77392,                0.68844,                 1.4647,               0.009064,               0.009064,               0.009064
                    107,                0.74726,                 0.9407,                 1.2567,                0.78325,                0.80516,                0.84403,                0.66802,                0.77427,                0.69095,                 1.4664,               0.009055,               0.009055,               0.009055
                    108,                0.74973,                0.93991,                 1.2607,                0.78321,                0.80033,                0.84363,                0.66751,                0.77143,                0.69314,                 1.4629,               0.009046,               0.009046,               0.009046
                    109,                0.75012,                0.93132,                 1.2539,                0.78322,                0.79994,                0.84392,                0.66983,                0.76954,                0.69261,                 1.4594,               0.009037,               0.009037,               0.009037
                    110,                0.75021,                0.93613,                 1.2558,                0.78946,                0.80076,                0.84436,                0.67013,                0.77011,                0.69143,                 1.4606,               0.009028,               0.009028,               0.009028
                    111,                0.74824,                  0.949,                 1.2614,                0.78881,                0.80062,                0.84441,                0.67046,                0.77113,                0.68791,                 1.4617,               0.009019,               0.009019,               0.009019
                    112,                 0.7477,                0.93061,                 1.2564,                 0.7877,                0.80927,                0.84621,                0.67012,                0.77206,                0.68629,                 1.4609,                0.00901,                0.00901,                0.00901
                    113,                0.74257,                0.92538,                 1.2543,                0.79311,                0.80439,                0.84581,                0.67049,                 0.7717,                0.68544,                   1.46,               0.009001,               0.009001,               0.009001
                    114,                  0.747,                0.93386,                 1.2547,                0.80401,                0.79273,                0.84611,                0.67133,                0.77265,                0.68653,                 1.4596,               0.008992,               0.008992,               0.008992
                    115,                0.74349,                0.92496,                 1.2526,                 0.7928,                0.80262,                0.84467,                0.67091,                0.77306,                0.69005,                 1.4607,               0.008983,               0.008983,               0.008983
