                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82126,                 1.2152,                 1.3646,                0.70406,                0.75984,                0.77355,                0.60429,                0.81111,                0.87412,                 1.5027,               0.009694,               0.009694,               0.009694
                     37,                0.82462,                 1.2148,                 1.3654,                0.71558,                0.74304,                 0.7681,                0.59769,                0.81136,                 0.8849,                 1.5001,               0.009685,               0.009685,               0.009685
                     38,                 0.8179,                 1.1897,                 1.3535,                0.74085,                0.73313,                0.78034,                0.61327,                0.79693,                0.85428,                 1.4931,               0.009676,               0.009676,               0.009676
                     39,                0.81716,                 1.1926,                 1.3538,                 0.7232,                0.76011,                0.79285,                0.62103,                 0.8059,                0.83679,                 1.5003,               0.009667,               0.009667,               0.009667
                     40,                0.82132,                 1.1931,                 1.3605,                 0.6799,                0.78632,                 0.7716,                0.60157,                0.79645,                0.88036,                 1.4991,               0.009658,               0.009658,               0.009658
                     41,                0.81208,                 1.1778,                 1.3518,                0.74478,                0.75617,                0.79676,                0.62094,                0.81031,                0.83615,                 1.5007,               0.009649,               0.009649,               0.009649
                     42,                0.81909,                 1.1654,                 1.3548,                0.72018,                0.79173,                0.79504,                0.61841,                0.80639,                 0.8466,                 1.4967,                0.00964,                0.00964,                0.00964
                     43,                 0.8144,                 1.1805,                 1.3506,                0.71048,                0.77981,                0.79015,                0.61859,                0.80378,                0.83977,                 1.4948,               0.009631,               0.009631,               0.009631
                     44,                0.81402,                 1.1802,                 1.3485,                0.73803,                0.77212,                0.79259,                0.62234,                0.79443,                0.82036,                 1.4671,               0.009622,               0.009622,               0.009622
                     45,                0.80941,                 1.1644,                 1.3445,                0.71162,                 0.7759,                0.79107,                0.61976,                0.79908,                 0.8422,                 1.4956,               0.009613,               0.009613,               0.009613
                     46,                0.81109,                 1.1655,                 1.3396,                0.72078,                 0.7707,                0.79175,                0.62092,                0.79885,                0.82916,                  1.475,               0.009604,               0.009604,               0.009604
                     47,                0.80024,                 1.1676,                 1.3346,                0.71527,                0.78272,                0.79601,                0.62548,                 0.7955,                0.81496,                 1.4812,               0.009595,               0.009595,               0.009595
                     48,                0.81202,                 1.1539,                 1.3484,                0.73998,                0.75727,                0.79541,                0.61927,                0.81099,                0.82847,                 1.4953,               0.009586,               0.009586,               0.009586
                     49,                0.79493,                 1.1421,                 1.3278,                0.73842,                0.76246,                0.79384,                0.62478,                0.79289,                0.81588,                 1.4766,               0.009577,               0.009577,               0.009577
                     50,                0.80403,                 1.1382,                 1.3363,                0.74242,                0.75463,                0.79211,                0.62208,                0.78952,                0.81759,                 1.4803,               0.009568,               0.009568,               0.009568
                     51,                0.80485,                 1.1347,                 1.3358,                0.74166,                0.78385,                0.80368,                0.63107,                0.80185,                0.80358,                  1.493,               0.009559,               0.009559,               0.009559
                     52,                 0.7961,                  1.123,                 1.3261,                0.74769,                0.77725,                0.80639,                0.63391,                0.79199,                0.79847,                 1.4908,                0.00955,                0.00955,                0.00955
                     53,                  0.802,                 1.1274,                 1.3294,                0.74321,                0.76889,                0.80634,                0.63202,                0.79742,                0.79675,                 1.4857,               0.009541,               0.009541,               0.009541
                     54,                0.79797,                 1.1203,                 1.3248,                0.74097,                0.76912,                0.80891,                0.63705,                0.79105,                0.78973,                 1.4777,               0.009532,               0.009532,               0.009532
                     55,                0.79876,                 1.1085,                 1.3203,                0.77159,                0.75307,                0.80634,                0.63639,                0.79439,                0.79431,                 1.4772,               0.009523,               0.009523,               0.009523
                     56,                0.79968,                 1.1124,                 1.3243,                0.76472,                0.77388,                0.80732,                 0.6351,                0.79792,                0.79712,                 1.4908,               0.009514,               0.009514,               0.009514
                     57,                0.79862,                 1.1164,                 1.3196,                0.73803,                0.80246,                0.81628,                  0.644,                0.79676,                0.78268,                 1.4864,               0.009505,               0.009505,               0.009505
                     58,                0.79763,                 1.1024,                 1.3242,                 0.7561,                0.78627,                0.81582,                0.64394,                0.78355,                0.77877,                 1.4698,               0.009496,               0.009496,               0.009496
                     59,                0.78877,                 1.0977,                 1.3126,                0.74759,                0.78535,                0.81379,                 0.6423,                0.78402,                0.77341,                  1.471,               0.009487,               0.009487,               0.009487
                     60,                0.79037,                 1.0919,                 1.3146,                0.77123,                0.76816,                0.82168,                0.64675,                0.78613,                0.76697,                 1.4788,               0.009478,               0.009478,               0.009478
                     61,                0.78795,                  1.085,                  1.313,                0.76648,                0.77116,                0.81709,                0.64579,                0.78635,                 0.7729,                 1.4723,               0.009469,               0.009469,               0.009469
