                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.82336,                 1.2023,                 1.4399,                0.68681,                0.75463,                0.76116,                0.59341,                0.79573,                0.91213,                  1.482,               0.009694,               0.009694,               0.009694
                     37,                0.82356,                 1.1993,                   1.44,                 0.7523,                0.76571,                0.79522,                0.62446,                0.79578,                0.83746,                 1.4784,               0.009685,               0.009685,               0.009685
                     38,                0.81505,                 1.1733,                 1.4249,                0.73968,                0.75308,                0.79504,                0.62376,                 0.7856,                0.83217,                 1.4777,               0.009676,               0.009676,               0.009676
                     39,                0.81487,                 1.1762,                  1.426,                0.72597,                0.77322,                 0.7972,                0.62319,                0.79812,                0.84602,                 1.4949,               0.009667,               0.009667,               0.009667
                     40,                0.82572,                 1.1738,                 1.4368,                0.71513,                0.78382,                0.79166,                0.62385,                0.78415,                0.82885,                 1.4781,               0.009658,               0.009658,               0.009658
                     41,                 0.8127,                 1.1637,                 1.4258,                0.73841,                0.77574,                0.79906,                0.62155,                0.80108,                0.81974,                 1.4905,               0.009649,               0.009649,               0.009649
                     42,                0.82062,                 1.1526,                 1.4247,                0.72636,                0.77365,                0.79708,                0.62392,                0.79957,                0.83496,                 1.4931,                0.00964,                0.00964,                0.00964
                     43,                0.81321,                 1.1679,                 1.4182,                0.73456,                0.78656,                0.79915,                0.62837,                0.78824,                0.81558,                 1.4777,               0.009631,               0.009631,               0.009631
                     44,                0.81682,                 1.1638,                 1.4199,                0.73804,                0.77908,                0.79682,                0.62681,                 0.7951,                0.81956,                 1.4834,               0.009622,               0.009622,               0.009622
                     45,                0.80653,                 1.1439,                 1.4079,                0.73687,                0.78478,                0.79846,                0.63261,                0.77979,                0.80912,                 1.4736,               0.009613,               0.009613,               0.009613
                     46,                0.80799,                 1.1452,                 1.4038,                  0.759,                0.77944,                0.81059,                 0.6392,                 0.7803,                0.79562,                 1.4612,               0.009604,               0.009604,               0.009604
                     47,                0.80018,                  1.146,                  1.394,                0.75494,                0.77002,                0.80686,                 0.6393,                0.77786,                0.80372,                 1.4603,               0.009595,               0.009595,               0.009595
                     48,                0.81453,                   1.14,                 1.4094,                0.74877,                0.77906,                 0.8071,                0.63155,                0.79706,                0.80479,                 1.4908,               0.009586,               0.009586,               0.009586
                     49,                0.79577,                 1.1207,                 1.3916,                0.75619,                0.78469,                0.80451,                0.63194,                0.79009,                0.80072,                 1.4935,               0.009577,               0.009577,               0.009577
                     50,                0.80167,                 1.1232,                 1.3992,                0.76683,                0.77275,                  0.814,                0.64113,                0.77849,                0.78472,                  1.465,               0.009568,               0.009568,               0.009568
                     51,                0.80422,                 1.1166,                 1.3969,                0.73782,                0.80636,                0.81268,                0.63906,                0.78618,                0.78631,                 1.4819,               0.009559,               0.009559,               0.009559
                     52,                0.79249,                 1.1138,                 1.3898,                0.73618,                0.79362,                0.81607,                0.64679,                0.78063,                0.78017,                 1.4845,                0.00955,                0.00955,                0.00955
                     53,                0.79968,                  1.116,                  1.394,                 0.7805,                0.75536,                0.81254,                0.63812,                0.79657,                0.78664,                 1.4901,               0.009541,               0.009541,               0.009541
                     54,                0.79828,                 1.1104,                 1.3917,                0.74521,                0.79709,                0.81742,                0.64712,                0.77359,                0.76847,                 1.4611,               0.009532,               0.009532,               0.009532
                     55,                0.80012,                 1.1063,                 1.3924,                0.76967,                0.78882,                0.82399,                0.65118,                0.78405,                 0.7568,                 1.4705,               0.009523,               0.009523,               0.009523
                     56,                0.79784,                 1.0996,                 1.3855,                0.77345,                0.76895,                0.81867,                0.64686,                0.78442,                0.77229,                 1.4627,               0.009514,               0.009514,               0.009514
                     57,                0.79546,                  1.101,                 1.3881,                0.74081,                0.81199,                0.82398,                0.65014,                0.78721,                0.76276,                 1.4704,               0.009505,               0.009505,               0.009505
                     58,                0.79281,                 1.0908,                 1.3898,                0.77851,                0.78323,                0.82653,                0.65363,                0.78279,                0.75763,                 1.4774,               0.009496,               0.009496,               0.009496
                     59,                0.78827,                 1.0827,                 1.3806,                0.77816,                0.79617,                0.82645,                0.65542,                0.77557,                0.74717,                 1.4599,               0.009487,               0.009487,               0.009487
                     60,                0.79361,                 1.0749,                 1.3841,                0.77101,                0.78902,                0.82907,                 0.6584,                0.77234,                0.74282,                 1.4661,               0.009478,               0.009478,               0.009478
                     61,                0.78809,                 1.0752,                 1.3748,                0.78714,                0.77215,                0.82218,                 0.6509,                0.77757,                0.75917,                 1.4638,               0.009469,               0.009469,               0.009469
                     62,                0.79136,                 1.0857,                 1.3789,                0.77869,                0.79033,                0.83065,                0.65506,                0.79404,                0.75006,                 1.4869,                0.00946,                0.00946,                0.00946
                     63,                0.79153,                 1.0753,                 1.3763,                0.77662,                0.78793,                0.82805,                0.65739,                0.77434,                0.74454,                 1.4468,               0.009451,               0.009451,               0.009451
                     64,                0.78618,                 1.0681,                 1.3687,                0.77961,                0.78777,                0.83363,                0.65741,                0.78483,                0.74307,                 1.4762,               0.009442,               0.009442,               0.009442
                     65,                0.78787,                 1.0767,                 1.3706,                0.77761,                0.79883,                0.83209,                0.66163,                0.77668,                0.73894,                 1.4658,               0.009433,               0.009433,               0.009433
                     66,                0.78769,                 1.0698,                 1.3671,                0.76512,                 0.7998,                0.82831,                0.65371,                0.78476,                0.74973,                  1.473,               0.009424,               0.009424,               0.009424
                     67,                0.78373,                 1.0629,                  1.364,                0.78449,                0.78537,                0.83269,                0.65395,                0.79693,                0.74207,                 1.4909,               0.009415,               0.009415,               0.009415
                     68,                0.78287,                 1.0555,                 1.3603,                0.77907,                0.79438,                0.83749,                0.66347,                0.78163,                0.73099,                 1.4723,               0.009406,               0.009406,               0.009406
                     69,                0.78341,                 1.0606,                 1.3647,                0.77327,                0.81092,                0.84119,                0.66487,                0.78315,                0.72698,                 1.4682,               0.009397,               0.009397,               0.009397
                     70,                0.77892,                 1.0502,                 1.3578,                0.78459,                0.79638,                 0.8381,                 0.6639,                0.78021,                0.73445,                 1.4662,               0.009388,               0.009388,               0.009388
                     71,                0.78286,                 1.0485,                 1.3577,                0.77121,                0.79431,                0.83175,                  0.659,                0.78338,                0.73618,                 1.4689,               0.009379,               0.009379,               0.009379
                     72,                0.77699,                 1.0461,                 1.3523,                0.76919,                0.80091,                0.83661,                0.66044,                0.78916,                0.73069,                 1.4774,                0.00937,                0.00937,                0.00937
                     73,                0.77591,                 1.0435,                 1.3571,                 0.7948,                0.77382,                0.83874,                 0.6668,                0.77748,                 0.7218,                 1.4601,               0.009361,               0.009361,               0.009361
                     74,                0.78093,                 1.0519,                 1.3568,                 0.7941,                0.78452,                  0.838,                0.66511,                0.77108,                 0.7267,                 1.4551,               0.009352,               0.009352,               0.009352
                     75,                0.77691,                 1.0368,                 1.3519,                0.78716,                0.78656,                0.84085,                0.66543,                0.77676,                0.71778,                 1.4621,               0.009343,               0.009343,               0.009343
                     76,                0.76919,                 1.0267,                  1.345,                0.77879,                0.80382,                0.83977,                0.66389,                0.77882,                0.72205,                  1.466,               0.009334,               0.009334,               0.009334
                     77,                0.77728,                 1.0309,                 1.3492,                0.76351,                0.81549,                0.84044,                0.66397,                0.78129,                0.72104,                 1.4688,               0.009325,               0.009325,               0.009325
